,MPIESM12,GISSE2R,IPSLCM5A,CCSM3,HadGEM2ES,CESM104,ECHAM5MPIOM,FAMOUS,CNRMCM61,HadCM3L,MPIESM11
123,4.671417,3.420288,5.6810913,3.9327698,6.3391113,4.6237183,6.8695374,10.129272,6.5660095,4.7691956,4.903351
124,4.79126,3.3424377,5.651001,3.8112183,6.3195496,4.556885,6.8272095,10.1137085,6.506317,4.7979736,4.80484
125,4.9576416,3.3936768,5.6703186,3.99234,6.434906,4.589966,6.771881,10.240173,6.609192,4.7503967,4.859741
126,5.006134,3.376007,5.697876,3.9300537,6.38916,4.461731,7.0885315,10.426239,6.5421143,4.687439,4.8990173
127,4.907013,3.3839417,5.855835,3.9159546,6.258789,4.444031,6.8587036,10.353424,6.318634,4.769104,5.0313416
128,4.7626038,3.389557,5.6320496,3.9029236,6.1886597,4.4961243,6.7683105,10.274719,6.559906,4.661438,5.100769
129,4.781189,3.3194275,5.8095703,3.8182678,6.1953125,4.7079163,7.11026,10.43689,6.674347,4.7122803,4.7529297
130,4.7516785,3.2818298,5.9331665,3.9501648,6.2356567,4.782959,7.182831,10.569,6.544922,4.6686096,4.676605
131,4.8357544,3.288086,5.877838,3.990265,6.2099,4.7665405,6.9848633,10.605438,6.5722656,4.781555,4.7094727
132,4.973358,3.3269043,5.7284546,3.9811707,6.3137207,4.5988464,6.813751,10.482452,6.7361755,4.7378235,4.960541
133,4.9869995,3.3501892,5.7176514,4.052643,6.330597,4.591095,6.8682556,10.411316,6.718872,4.6940613,4.9609375
134,4.8784485,3.3552856,6.0111084,4.0203857,6.3250427,4.676422,6.6994934,10.628296,6.636078,4.5785217,4.954529
135,4.9389954,3.351654,6.0354004,4.000366,6.4141846,4.7715454,6.7607727,10.503845,6.7409363,4.5438538,4.6730347
136,4.940399,3.446289,5.667145,3.9635315,6.5758057,4.7052307,6.7627563,10.384399,6.68161,4.574707,4.63678
137,5.0135803,3.5083313,5.774811,4.0594482,6.545288,4.621155,6.8467712,10.555542,6.6633606,4.744232,4.70874
138,5.029663,3.5072021,5.68985,4.0245667,6.446869,4.6307373,6.8094482,10.433197,6.486908,4.6026917,4.9131165
139,5.041046,3.5542297,5.7320557,4.169464,6.364624,4.5443726,6.8547363,10.60257,6.5872803,4.7103577,5.0892944
140,4.9469604,3.5469666,5.752838,4.0085144,6.5281067,4.691986,7.0166626,10.619934,6.450165,4.640564,5.138672
141,5.031067,3.4684143,5.7736816,3.973938,6.555542,4.840393,7.039917,10.554169,6.444214,4.621216,4.8095093
142,5.0614624,3.457672,5.7111206,3.9376526,6.6266785,4.8850403,7.0798035,10.562927,6.613556,4.6785583,4.6722717
143,4.9425964,3.4946594,5.9111023,3.9612732,6.5838623,4.8279724,7.268463,10.578491,6.45697,4.614685,4.716156
144,4.9036865,3.4545593,5.897827,3.977539,6.546173,4.856903,6.9738464,10.523804,6.4820557,4.4986267,4.8671265
145,4.90036,3.458374,5.73761,3.8843994,6.568634,4.9176636,6.673401,10.545471,6.5717773,4.508911,5.13855
146,4.9101562,3.3938293,5.8031616,4.0080566,6.538574,4.6632996,6.822876,10.616638,6.5351257,4.7364807,5.089264
