,0,1,2,3,4,5,6,7,8,9,10
35,286.94766,287.49783,285.14215,286.17084,286.69858,286.7185,286.59457,287.59897,285.8782,287.33334,286.7333
36,286.92325,287.34598,285.27582,286.12762,286.7453,286.5834,286.5984,287.74887,285.88263,287.30154,286.92133
37,286.94928,287.39114,285.22012,286.3464,286.89688,286.67728,286.66843,287.94598,285.7651,287.27512,286.9237
38,287.098,287.49106,285.10324,286.3699,286.9094,286.7804,286.90158,287.72324,285.87842,287.184,286.91235
39,287.17804,287.46695,285.1138,286.29742,286.65848,286.83316,286.8882,287.37283,285.66013,287.40695,286.7253
40,287.1145,287.38766,285.1148,286.27927,286.69223,286.7998,286.59445,287.53384,285.83136,287.51883,286.87347
41,287.07907,287.3577,285.0342,286.37088,286.83084,286.87128,286.3441,287.80515,285.9338,287.54565,287.00375
42,286.85275,287.38483,284.94733,286.33334,286.7493,286.93512,286.80432,287.83746,285.87988,287.53745,286.95523
43,286.786,287.4463,285.21677,286.11954,286.72488,286.7547,286.6136,287.88025,285.76642,287.66412,286.8612
44,286.89935,287.43924,285.22162,286.2118,286.763,286.63666,286.78775,287.57718,285.85037,287.46127,286.82727
45,286.8786,287.3428,285.09555,286.27655,286.66766,286.68503,286.98196,287.82092,285.79846,287.31216,286.9761
46,286.92398,287.3483,285.2215,286.33945,286.83612,286.6896,286.76163,287.9645,285.79382,287.2912,287.05637
47,286.89185,287.32956,285.1583,286.0634,286.77982,286.84637,286.5865,288.05804,285.76172,287.56845,286.96933
48,286.9004,287.4296,285.09265,286.1343,286.94427,287.00452,286.51672,287.9264,285.75363,287.5871,287.0427
49,286.95953,287.442,285.28107,286.05725,286.81686,286.7854,286.93585,287.84134,285.74066,287.63947,287.0
50,286.94955,287.3518,285.46872,286.17902,286.77716,286.70233,287.11716,287.71863,285.8521,287.75543,286.88043
51,287.00934,287.47986,285.32224,286.11893,286.67017,286.69412,286.41287,287.58096,285.78122,287.52206,286.83975
52,286.9138,287.35318,285.10498,286.09152,286.7509,286.6508,286.5011,287.7973,285.87708,287.3771,286.95065
53,286.9879,287.3283,285.173,286.22302,286.87103,286.72812,286.83536,287.588,285.80438,287.41583,286.93387
54,286.9109,287.41742,285.1564,286.19446,286.94836,286.7415,286.79626,287.53394,285.80414,287.57236,287.03317
55,286.82,287.38995,285.14908,286.23688,286.8563,286.73715,286.60388,287.30524,285.82098,287.61862,286.8218
56,286.67084,287.33322,285.254,286.22516,286.9093,286.66882,286.90182,287.42703,285.76526,287.63995,286.64792
57,286.7842,287.3938,285.3075,286.2715,286.8218,286.5125,287.0067,287.51694,285.97455,287.65918,286.78876
58,287.07983,287.33087,285.26758,286.42508,286.91376,286.70844,286.6204,287.40915,285.9809,287.40726,286.72275
59,286.9163,287.31824,285.1201,286.25574,286.82248,287.03113,286.7171,287.28946,285.76193,287.31912,286.64175
60,286.76135,287.39774,285.0646,286.38852,286.89786,286.79364,286.90878,287.74698,285.81677,287.56155,286.7461
61,286.85706,287.29547,285.15628,286.26813,286.84976,286.53366,286.91916,287.56827,285.85764,287.61447,287.08167
62,286.83743,287.4008,285.14432,286.26093,286.75665,286.50217,286.45984,287.27017,285.67184,287.70203,287.08203
